"ID_BB_GLOBAL","FIELD","VALUE","SOURCE","TSTAMP"
"BBG000008ZR3","NAME","ACA ABS 2003-1 LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008ZR3","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008ZS2","NAME","ACA ABS 2003-1 LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG000008ZS2","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000095G0","NAME","PUTNAM 2001-1","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000095G0","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000095V3","NAME","PUTNAM 2001-1","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000095V3","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000C8F1","NAME","BANCO INTERNAC DEL PERU","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000C8F1","CPN","3.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000C8W2","NAME","PREFERRED TERM SECS XXI","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000C8W2","CPN",".533880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000CM97","NAME","PREFERRED TERM SECS XX","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000CM97","CPN",".583880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000CQQ9","NAME","BBVA BANCO CONTINENTAL","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000CQQ9","CPN","4.187500","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000D8R7","NAME","BANCO FALABELLA","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000D8R7","CPN","4.000000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000DKL6","NAME","BBVA BANCO CONTINENTAL","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000DKL6","CPN","3.093750","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000DPL5","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000DPL5","CPN",".766630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000F2Y0","NAME","CONC TRASVASE OLMOS SA","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000F2Y0","CPN","6.625000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000F4P6","NAME","INTL BK RECON & DEVELOP","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000F4P6","CPN","N.A.","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000FBN2","NAME","C8 CAPITAL SPV LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000FBN2","CPN","4.602500","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000FKG0","NAME","REG DIVERSIFIED FUNDING","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000FKG0","CPN","9.250000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000FN65","NAME","CONC TRASVASE OLMOS SA","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000FN65","CPN","6.625000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000G3J4","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000G3J4","CPN",".682000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GD20","NAME","PREF TERM SEC XXVIII LTD","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GD20","CPN","1.083880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GGM1","NAME","CIA GENERAL ELECTRICIDAD","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GGM1","CPN","4.750000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GGX9","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GGX9","CPN",".982000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GND6","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000GND6","CPN","1.582000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000HDV7","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000HDV7","CPN",".766630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000HW72","NAME","TRANSPORTADORA DE GAS PE","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000HW72","CPN","7.125000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000J695","NAME","PREFERRED TERM XXII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000J695","CPN",".813880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000JC56","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000JC56","CPN","2.382000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000JPY5","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000JPY5","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000JVH1","NAME","PREFERRED TERM SECS XX","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000JVH1","CPN",".583880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000K6V8","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000K6V8","CPN",".982000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000L1D8","NAME","PREFERRED TERM XXII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000L1D8","CPN",".813880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000MJ48","NAME","PLUSPETROL CAMISEA","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000MJ48","CPN","1.488880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000MLM3","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000MLM3","CPN","2.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000N609","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000N609","CPN","1.582000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000NBF2","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000NBF2","CPN","2.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000NYX2","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000NYX2","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000NYZ0","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000NYZ0","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000P6G0","NAME","MMCAPS FUNDING I LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000P6G0","CPN","9.480000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000PN91","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000PN91","CPN","2.382000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000PTW2","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000PTW2","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000QGB2","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000QGB2","CPN",".682000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000R7F7","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000R7F7","CPN",".982000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000RVW5","NAME","PREFERRED TERM SECS X","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000RVW5","CPN","1.895130","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000RXP9","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000RXP9","CPN","1.582000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000S178","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000S178","CPN",".663880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000S5V2","NAME","PREFERRED TERM SECS XVII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000S5V2","CPN","2.382000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SL01","NAME","PREFERRED TERM SECS XIX","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SL01","CPN",".783880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SLX5","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SLX5","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SSK4","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SSK4","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SSY9","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000SSY9","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000TJF9","NAME","PREFERRED TERM SECS X","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000TJF9","CPN","1.895130","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000TTW8","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000TTW8","CPN",".563880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000WML1","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000WML1","CPN","2.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000WXT9","NAME","INVEX (METROFINANCIERA)","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000WXT9","CPN","6.750000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000Y6B5","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000Y6B5","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000YJJ9","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000YJJ9","CPN","1.756630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000ZM47","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00000ZM47","CPN","2.686630","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010G64","NAME","I-PREFERRED TERM SEC III","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010G64","CPN","1.276380","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010J86","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010J86","CPN","1.533880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010MH9","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010MH9","CPN",".933880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010WJ5","NAME","PREFERRED TERM SECS XIX","corp_pdf.diff",2021-05-12 14:33:15
"BBG000010WJ5","CPN","2.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000011148","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000011148","CPN","1.533880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000011DZ8","NAME","GENERAL SECRETARIAT OAS","corp_pdf.diff",2021-05-12 14:33:15
"BBG000011DZ8","CPN","N.A.","corp_pdf.diff",2021-05-12 14:33:15
"BBG000012SR3","NAME","PREFERRED TERM SECS XIX","corp_pdf.diff",2021-05-12 14:33:15
"BBG000012SR3","CPN","2.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000136Z1","NAME","BANCO DE CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000136Z1","CPN","6.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000013W11","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG000013W11","CPN","2.686630","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000140R2","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000140R2","CPN","2.686630","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000148M0","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000148M0","CPN",".663880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000015WF4","NAME","BANCO DEL ESTADO -CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG000015WF4","CPN","4.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000016134","NAME","PREFERRED TERM SECS X","corp_pdf.diff",2021-05-12 14:33:15
"BBG000016134","CPN","1.895130","corp_pdf.diff",2021-05-12 14:33:15
"BBG000017428","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000017428","CPN",".933880","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000176L2","NAME","I-PREFERRED TERM SEC III","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000176L2","CPN",".776380","corp_pdf.diff",2021-05-12 14:33:15
"BBG000018Q73","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG000018Q73","CPN",".933880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000018SM2","NAME","BANCO DEL ESTADO -CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG000018SM2","CPN","4.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000195R6","NAME","EMPRESA DE LOS FERROCARR","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000195R6","CPN","5.700000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000197Q3","NAME","INBURSA PINFRA","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000197Q3","CPN","5.400000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001BJH4","NAME","BANCO BICE","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001BJH4","CPN","7.000000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001DQZ6","NAME","PREFERRED TERM XVIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001DQZ6","CPN","1.533880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001HN70","NAME","PREFERRED TERM SECS VIII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001HN70","CPN","2.095130","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001MGM2","NAME","PREFERRED TERM SECS XIX","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001MGM2","CPN",".783880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001NFR8","NAME","PREFERRED TERM SECS XV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001NFR8","CPN",".766630","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001NJG2","NAME","PREFERRED TERM SECS XV-2","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001NJG2","CPN","0","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001THC4","NAME","PREFERRED TERM XXII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001THC4","CPN",".583880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001TWJ4","NAME","BANCO DE CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001TWJ4","CPN","6.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001W3P7","NAME","REG DIVERSIFIED FUNDING","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001W3P7","CPN","9.250000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001W6D3","NAME","I-PREFERRED TERM SEC III","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001W6D3","CPN","1.276380","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001W8C0","NAME","CODELCO INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001W8C0","CPN","4.000000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001YJW2","NAME","I-PREFERRED TERM SEC III","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001YJW2","CPN",".776380","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001ZFM0","NAME","BANCO DE CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG00001ZFM0","CPN","7.000000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000200M9","NAME","EMPRESAS GASCO SA","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000200M9","CPN","7.300000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000020183","NAME","EMPRESAS GASCO SA","corp_pdf.diff",2021-05-12 14:33:15
"BBG000020183","CPN","7.300000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000023YK4","NAME","SOC ELECTRICA SANTIAGO","corp_pdf.diff",2021-05-12 14:33:15
"BBG000023YK4","CPN","7.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000246N1","NAME","SOC ELECTRICA SANTIAGO","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000246N1","CPN","7.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000025L48","NAME","GLOBIMEX S.A DE C.V.","corp_pdf.diff",2021-05-12 14:33:15
"BBG000025L48","CPN","8.750000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000029K37","NAME","PREFERRED TERM SECS XIX","corp_pdf.diff",2021-05-12 14:33:15
"BBG000029K37","CPN","2.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002CP69","NAME","PORTIGON FIN CURACAO NV","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002CP69","CPN","-.218000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002FWK5","NAME","BANCO DE SANTIAGO","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002FWK5","CPN","6.000000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002LST8","NAME","VINA SANTA RITA SA","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002LST8","CPN","4.400000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002RY55","NAME","EMPRESA DE LOS FERROCARR","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002RY55","CPN","6.400000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002T6G2","NAME","PREFERRED TERM XXII","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002T6G2","CPN",".813880","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002VBR6","NAME","BANCO BICE","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002VBR6","CPN","6.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002X0M3","NAME","EMPRESA DE LOS FERROCARR","corp_pdf.diff",2021-05-12 14:33:15
"BBG00002X0M3","CPN","5.700000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000030CC2","NAME","MM COMMUNITY FNDG III","corp_pdf.diff",2021-05-12 14:33:15
"BBG000030CC2","CPN","2.256380","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000310H2","NAME","MMCAPS FUNDING I LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000310H2","CPN","9.480000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000031JV5","NAME","MMCAPS FUNDING I LTD/INC","corp_pdf.diff",2021-05-12 14:33:15
"BBG000031JV5","CPN","9.480000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000032054","NAME","PREFERRED TERM SECS XIX","corp_pdf.diff",2021-05-12 14:33:15
"BBG000032054","CPN","1.383880","corp_pdf.diff",2021-05-12 14:33:15
"BBG000033LM8","NAME","BANCO DEL ESTADO -CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG000033LM8","CPN","6.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000033PB1","NAME","BANCO DEL ESTADO -CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG000033PB1","CPN","6.500000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000033Z29","NAME","BANCO DEL ESTADO -CHILE","corp_pdf.diff",2021-05-12 14:33:15
"BBG000033Z29","CPN","6.800000","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000350F0","NAME","EARLS FOUR LTD #236","corp_pdf.diff",2021-05-12 14:33:15
"BBG0000350F0","CPN",".062000","corp_pdf.diff",2021-05-12 14:33:15
"BBG000037004","NAME","CENCOSUD SA","corp_pdf.diff",2021-05-12 14:33:15
